,category,name,subs_last30d_count,views_last30d_count
518,People,Ibu dan Balita Indonesia,193133 ,62683500
519,Music,OneRepublicVEVO,-15330 ,58641000
520,Entertainment,Movie Talkies,117688 ,46817400
521,Entertainment,Tic Tac Toy,140548 ,69957600
522,Music,DJ ALEX,150795 ,55700700
523,Music,Major Lazer,89700 ,55853700
524,Entertainment,湖南卫视芒果TV官方频道 China…,58665 ,62249100
525,Education,أسرار لم تكن تعرفها,305116 ,59543400
526,,Purana Hindustan,0 ,57231300
527,Entertainment,SuperHeroKids,99063 ,52574100
528,Games,InquisitorMaster - My Gameplays are Kinda…,168033 ,0
529,Music,Gurjar Rasiya Official,240240 ,65062200
530,Music,Biper y sus Amigos,120344 ,55710000
531,Music,CarlosVivesVEVO,-9466 ,59394300
532,People,Tia Dani,179117 ,57265800
533,Music,Awakening Records,192139 ,63095700
534,People,AM3NlC,272221 ,60447000
535,Music,SBM Label,55976 ,54608400
536,Shows,КУКУТИКИ - Детские…,86048  ,54884400
537,Games,HikakinGames,48608 ,56462700
538,Entertainment,TheDonato,649379 ,58261800
539,Entertainment,KBSKpop,169287 ,59652000
540,Games,شبكة العاب العرب | Arab Games…,351845 ,53912100
541,Film,WildBrain en Español,153129 ,51024000
542,Games,packattack04082,75873 ,60843000
543,Music,JamesAVEVO,-8638 ,56704800
544,Entertainment,AnAn ToysReview TV,55580 ,24003870
545,Entertainment,JORAN ASIK,0 ,26590440
546,,Junky Kids Tv - Learn Colors for Children,261858 ,63709200
547,Tech,Unbox Therapy,40995 ,57641100
548,Film,Omar & Hana - Lagu Kanak-Kanak Islam,144571 ,57502500
549,Music,COLORS,181548 ,57909600
550,Entertainment,SevenSuperGirls,60933 ,63069600
551,Tech,Made by Google, 54426 ,49838100
552,Entertainment,Scopian01,111616 ,65397300
553,Games,GameGrumps,8518 ,54338700
554,Entertainment,Haschak Sisters,79054 ,59950500
555,Entertainment,Wild 'N Out,219382 ,0
556,Music,Riya Films,174974 ,52404906
557,Education,The Infographics Show,284687 ,67168800
558,Music,GEazyMusicVEVO, -20248 ,55119000
559,Entertainment,SUNDRANI,11646 ,50730600
560,Music,Juice WRLD - Topic,-8 ,3529461
561,Film,Mythology Max,122699 ,34923600
562,Film,Cromartie,189 ,-8539110
563,,BADEMIN,3374 ,26904300
564,,INCRÍVEL,641185 ,59062500
565,Games,Senya ToysReview,148656 ,49031100
566,Entertainment,보겸 TV,91801 ,0
567,,Kadın,98381  ,57137100
568,People,Funny Vines,189657 ,54997200
569,Entertainment,ボンボンTV,38173 ,53061000
570,Music,Little Big Town,3344 ,13230
571,People,SaneuB,310429 ,61521600
572,Music,ascadamusik,145437 ,38902500
573,,DANCE TO DANCE digital teknik,236655 ,59004000
